Nro de factura,Fecha de factura,ID Cliente,Pais,Cantidad,Monto,Mes,Año
548370,2021-03-30 16:14:00,15528.0,United Kingdom,123,"229,33",3,2021
575767,2021-11-11 11:11:00,17348.0,United Kingdom,163,"209,73",11,2021
570727,2021-10-12 11:32:00,12471.0,Germany,-1,"-1,45",10,2021
549106,2021-04-06 12:08:00,17045.0,United Kingdom,1,"39,95",4,2021
573112,2021-10-27 15:33:00,16416.0,United Kingdom,357,"344,83",10,2021
576630,2021-11-16 08:38:00,13816.0,Germany,91,"199,98",11,2021
538125,2020-12-09 15:46:00,18225.0,United Kingdom,16,"30,00",12,2020
544354,2021-02-18 10:42:00,13489.0,United Kingdom,64,"77,28",2,2021
546369,2021-03-11 11:41:00,15513.0,United Kingdom,10,"67,50",3,2021
570651,2021-10-11 13:34:00,14911.0,EIRE,86,"321,35",10,2021
543628,2021-02-10 15:51:00,16558.0,United Kingdom,-5,"-9,25",2,2021
539736,2020-12-21 15:18:00,,United Kingdom,143,"1172,46",12,2020
537823,2020-12-08 14:25:00,,United Kingdom,1484,"6073,71",12,2020
575581,2021-11-10 11:53:00,12659.0,France,105,"91,68",11,2021
580987,2021-12-06 16:35:00,17389.0,United Kingdom,96,"720,00",12,2021
543754,2021-02-11 14:26:00,18159.0,United Kingdom,139,"530,15",2,2021
542418,2021-01-27 17:39:00,,United Kingdom,-17,"0,00",1,2021
553508,2021-05-17 13:44:00,14000.0,United Kingdom,-3,"-1,95",5,2021
563233,2021-08-14 15:56:00,17988.0,United Kingdom,1,"2,95",8,2021
545417,2021-03-02 13:42:00,15622.0,United Kingdom,222,"576,00",3,2021
577693,2021-11-21 11:48:00,12628.0,Germany,-3,"-16,85",11,2021
550759,2021-04-20 12:09:00,,United Kingdom,-7,"0,00",4,2021
547309,2021-03-22 11:17:00,17416.0,United Kingdom,-12,"-45,00",3,2021
556427,2021-06-10 13:23:00,,United Kingdom,92,"435,69",6,2021
555404,2021-06-02 18:28:00,17231.0,United Kingdom,-2,"-19,90",6,2021
576571,2021-11-15 13:48:00,12950.0,United Kingdom,164,"311,60",11,2021
550623,2021-04-19 13:56:00,13719.0,United Kingdom,78,"132,90",4,2021
576083,2021-11-14 08:22:00,17404.0,Sweden,1060,"1238,48",11,2021
562417,2021-08-04 16:32:00,,United Kingdom,526,"1691,38",8,2021
570733,2021-10-12 11:33:00,17190.0,United Kingdom,160,"249,74",10,2021
537026,2020-12-03 16:35:00,12395.0,Belgium,528,"346,10",12,2020
552837,2021-05-11 14:24:00,12901.0,United Kingdom,72,"140,04",5,2021
579925,2021-12-01 09:16:00,15544.0,United Kingdom,-3,"-2,55",12,2021
550535,2021-04-19 11:19:00,14211.0,United Kingdom,72,"155,60",4,2021
555213,2021-06-01 12:22:00,13094.0,United Kingdom,144,"152,64",6,2021
549923,2021-04-13 09:59:00,13138.0,United Kingdom,72,"193,62",4,2021
575198,2021-11-09 09:47:00,12921.0,United Kingdom,19,"71,25",11,2021
549986,2021-04-13 16:03:00,18178.0,United Kingdom,-2,"-7,50",4,2021
569005,2021-09-29 18:30:00,16268.0,United Kingdom,465,"493,76",9,2021
566307,2021-09-12 09:37:00,14307.0,United Kingdom,323,"656,23",9,2021
539049,2020-12-15 16:21:00,15615.0,United Kingdom,364,"1048,64",12,2020
549684,2021-04-11 13:24:00,,United Kingdom,1,"30,00",4,2021
580068,2021-12-01 13:41:00,17321.0,United Kingdom,5,"41,25",12,2021
542745,2021-01-31 16:47:00,15881.0,United Kingdom,154,"339,29",1,2021
575525,2021-11-10 11:06:00,13983.0,United Kingdom,72,"128,88",11,2021
562884,2021-08-10 11:25:00,14056.0,United Kingdom,-3,"-9,75",8,2021
560842,2021-07-21 12:25:00,14527.0,United Kingdom,-1,"-12,15",7,2021
542936,2021-02-02 11:10:00,,United Kingdom,144,"161,56",2,2021
565682,2021-09-06 10:42:00,14796.0,United Kingdom,467,"835,95",9,2021
562514,2021-08-05 12:20:00,13408.0,United Kingdom,-1,"-11,95",8,2021
562220,2021-08-03 14:19:00,15150.0,United Kingdom,108,"304,42",8,2021
562002,2021-08-01 13:48:00,14567.0,United Kingdom,172,"800,76",8,2021
561210,2021-07-25 16:58:00,17841.0,United Kingdom,-10,"-12,50",7,2021
545502,2021-03-03 11:33:00,15078.0,United Kingdom,-10,"-19,50",3,2021
538010,2020-12-09 12:20:00,17526.0,United Kingdom,40,"226,80",12,2020
579089,2021-11-28 10:46:00,17920.0,United Kingdom,58,"111,11",11,2021
560713,2021-07-20 13:09:00,16774.0,United Kingdom,56,"160,80",7,2021
571098,2021-10-13 15:38:00,17841.0,United Kingdom,200,"437,43",10,2021
574994,2021-11-08 11:03:00,17870.0,United Kingdom,62,"143,11",11,2021
570257,2021-10-10 09:56:00,13767.0,United Kingdom,129,"380,31",10,2021
541669,2021-01-20 12:29:00,17315.0,United Kingdom,172,"331,76",1,2021
560687,2021-07-20 11:51:00,14606.0,United Kingdom,-28,"-23,37",7,2021
569891,2021-10-06 15:46:00,13924.0,United Kingdom,-19,"-65,09",10,2021
552404,2021-05-09 12:39:00,15932.0,United Kingdom,262,"305,02",5,2021
566035,2021-09-08 13:17:00,12839.0,United Kingdom,286,"413,58",9,2021
576911,2021-11-17 10:01:00,17461.0,United Kingdom,342,"349,20",11,2021
572272,2021-10-21 16:18:00,13171.0,United Kingdom,60,"132,54",10,2021
577783,2021-11-21 16:20:00,18139.0,United Kingdom,1644,"2786,40",11,2021
578757,2021-11-25 11:41:00,12748.0,United Kingdom,256,"420,41",11,2021
553557,2021-05-17 17:03:00,13266.0,United Kingdom,-2,"-3,20",5,2021
542351,2021-01-27 12:13:00,14560.0,United Kingdom,39,"152,25",1,2021
558245,2021-06-27 16:28:00,,United Kingdom,8,"0,00",6,2021
578090,2021-11-22 17:03:00,12483.0,Sweden,-2,"-80,00",11,2021
559164,2021-07-06 16:39:00,16422.0,United Kingdom,406,"587,46",7,2021
578150,2021-11-23 11:18:00,16020.0,United Kingdom,10,"16,50",11,2021
558770,2021-07-03 15:19:00,12748.0,United Kingdom,60,"115,55",7,2021
569552,2021-10-04 17:44:00,14533.0,United Kingdom,-1200,"-84,00",10,2021
550646,2021-04-19 16:32:00,16873.0,United Kingdom,-6,"-14,40",4,2021
571329,2021-10-17 11:32:00,17706.0,United Kingdom,-13,"-50,80",10,2021
544557,2021-02-21 12:31:00,17422.0,United Kingdom,-15,"-55,35",2,2021
539277,2020-12-16 15:37:00,15777.0,United Kingdom,-3,"-25,50",12,2020
577731,2021-11-21 13:06:00,17811.0,United Kingdom,-6,"-11,70",11,2021
580386,2021-12-04 10:29:00,18065.0,United Kingdom,50,"188,90",12,2021
553866,2021-05-19 14:14:00,14620.0,United Kingdom,-26,"-19,50",5,2021
570252,2021-10-10 09:14:00,14665.0,United Kingdom,238,"559,52",10,2021
536782,2020-12-02 15:18:00,17567.0,United Kingdom,244,"517,95",12,2020
544594,2021-02-21 16:58:00,15079.0,United Kingdom,-1,"-1,95",2,2021
571082,2021-10-13 15:25:00,,United Kingdom,479,"1354,71",10,2021
551984,2021-05-05 14:37:00,15841.0,United Kingdom,234,"281,66",5,2021
554931,2021-05-27 13:21:00,17841.0,United Kingdom,-4,"-5,00",5,2021
